0,1.922
0.2,1.924
0.4,1.931
0.6,1.937
0.8,1.944
1,1.951
1.2,1.956
1.4,1.964
1.6,1.969
1.8,1.978
2,1.986
2.2,1.992
2.4,2.001
2.6,2.007
2.8,2.016
3,2.025
3.2,2.032
3.4,2.041
3.6,2.049
3.8,2.056
4,2.065
4.2,2.073
4.4,2.084
4.6,2.093
4.8,2.102
5,2.112
5.2,2.12
5.4,2.131
5.6,2.14
5.8,2.15
6,2.159
6.2,2.169
6.4,2.181
6.6,2.191
6.8,2.202
7,2.214
7.2,2.223
7.4,2.236
7.6,2.249
7.8,2.26
8,2.27
8.2,2.284
8.4,2.295
8.6,2.308
8.8,2.322
9,2.335
9.2,2.349
9.4,2.363
9.6,2.377
9.8,2.391
10,2.406
10.2,2.421
10.4,2.437
10.6,2.453
10.8,2.47
11,2.487
11.2,2.504
11.4,2.523
11.6,2.541
11.8,2.56
12,2.58
12.2,2.602
12.4,2.624
12.6,2.646
12.8,2.668
13,2.694
13.2,2.719
13.4,2.747
13.6,2.775
13.8,2.806
14,2.837
14.2,2.874
14.4,2.908
14.6,2.949
14.8,2.991
15,3.04
15.2,3.091
15.4,3.151
15.6,3.214
15.8,3.296
16,3.384
16.2,3.495
16.4,3.633
16.6,3.809
16.8,4.033
17,4.269
17.2,4.465
17.4,4.62
17.6,4.745
17.8,4.845
18,4.931
18.2,5.002
18.4,5.068
18.6,5.125
18.8,5.178
19,5.224
19.2,5.269
19.4,5.308
19.6,5.348
19.8,5.383
20,5.419
20.2,5.45
20.4,5.482
20.6,5.51
20.8,5.539
21,5.565
21.2,5.594
21.4,5.618
21.6,5.644
21.8,5.668
22,5.691
22.2,5.714
22.4,5.737
22.6,5.758
22.8,5.78
23,5.801
23.2,5.822
23.4,5.843
23.6,5.863
23.8,5.885
24,5.903
24.2,5.924
24.4,5.943
24.6,5.962
24.8,5.981
25,6
25.2,6.02
25.4,6.038
25.6,6.058
25.8,6.077
26,6.095
26.2,6.114
26.4,6.134
26.6,6.153
26.8,6.172
27,6.191
27.2,6.211
27.4,6.229
27.6,6.249
27.8,6.269
28,6.289
28.2,6.309
28.4,6.329
28.6,6.351
28.8,6.371
29,6.393
29.2,6.415
29.4,6.438
29.6,6.46
29.8,6.484
30,6.507
30.2,6.531
30.4,6.556
30.6,6.582
30.8,6.61
31,6.637
31.2,6.666
31.4,6.695
31.6,6.726
31.8,6.758
32,6.793
32.2,6.829
32.4,6.867
32.6,6.908
32.8,6.953
33,7
33.2,7.053
33.4,7.109
33.6,7.175
33.8,7.247
34,7.334
34.2,7.437
34.4,7.573
34.6,7.751
34.8,8.037
35,8.521
35.2,9.056
35.4,9.406
35.6,9.664
35.8,9.864
36,10.042
36.2,10.204
36.4,10.351
36.6,10.49
36.8,10.616
37,10.73
37.2,10.826
37.4,10.915
37.6,10.988
37.8,11.055
